Full Journal Title	Journal Impact Factor
MARINE TECHNOLOGY SOCIETY JOURNAL	0.727
PCI JOURNAL	0.727
STATISTICAL PAPERS	0.727
UNIVERSITY OF ILLINOIS LAW REVIEW	0.727
Clinics in Podiatric Medicine and Surgery	0.726
Holistic Nursing Practice	0.726
Holistic Nursing Practice	0.726
Inzinerine Ekonomika-Engineering Economics	0.726
Journal of Neurological Surgery Part A-Central European Neurosurgery	0.726
ACCREDITATION AND QUALITY ASSURANCE	0.725
ANIMAL SCIENCE PAPERS AND REPORTS	0.725
Acta Dermatovenerologica Croatica	0.725
BULLETIN OF INDONESIAN ECONOMIC STUDIES	0.725
CRITICAL REVIEW	0.725
ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT	0.725
IZVESTIYA MATHEMATICS	0.725
Journal of the Indian Society of Remote Sensing	0.725
Polish Journal of Chemical Technology	0.725
DISCRETE & COMPUTATIONAL GEOMETRY	0.724
International Arab Journal of Information Technology	0.724
TECHNOLOGY AND HEALTH CARE	0.724
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE	0.723
HNO	0.723
JOURNAL OF ANALYTICAL CHEMISTRY	0.723
Micro & Nano Letters	0.723
Quality Management in Health Care	0.723
Quality Management in Health Care	0.723
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE	0.723
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE	0.723
Tehnicki Vjesnik-Technical Gazette	0.723
Eastern European Countryside	0.722
JOURNAL AMERICAN WATER WORKS ASSOCIATION	0.722
JOURNAL INTERNATIONAL DES SCIENCES DE LA VIGNE ET DU VIN	0.722
JOURNAL OF APICULTURAL SCIENCE	0.722
ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE	0.722
HIGH ENERGY CHEMISTRY	0.721
JOURNAL OF SHELLFISH RESEARCH	0.721
Journal of the Korean Astronomical Society	0.721
Mycosphere	0.721
POST-COMMUNIST ECONOMIES	0.721
SBORNIK MATHEMATICS	0.721
Bulletin of the Malaysian Mathematical Sciences Society	0.720
EKONOMICKY CASOPIS	0.720
German Economic Review	0.720
JOURNAL OF EAST ASIAN LINGUISTICS	0.720
Chilean Journal of Agricultural Research	0.719
European Journal of Inflammation	0.719
TROPICAL BIOMEDICINE	0.719
European Journal of Hospital Pharmacy-Science and Practice	0.718
MACROECONOMIC DYNAMICS	0.718
ODONATOLOGICA	0.718
Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S	0.717
REVISTA LATINOAMERICANA DE PSICOLOGIA	0.717
Research in Gerontological Nursing	0.717
Research in Gerontological Nursing	0.717
Studies in Educational Evaluation	0.717
Autex Research Journal	0.716
MATHEMATICAL RESEARCH LETTERS	0.716
MONATSHEFTE FUR MATHEMATIK	0.716
OPTICS AND SPECTROSCOPY	0.716
ZEITSCHRIFT FUR RHEUMATOLOGIE	0.716
NORTH AMERICAN JOURNAL OF AQUACULTURE	0.715
SOCIAL SCIENCE JOURNAL	0.715
COLUMBIA JOURNAL OF TRANSNATIONAL LAW	0.714
JOURNAL OF ASIAN STUDIES	0.714
Lex Localis-Journal of Local Self-Government	0.714
MODERN CHINA	0.714
ANNALS OF GLOBAL ANALYSIS AND GEOMETRY	0.713
INTERNATIONAL JOURNAL OF GAME THEORY	0.713
INTERNATIONAL JOURNAL OF GAME THEORY	0.713
INTERNATIONAL JOURNAL OF VEHICLE DESIGN	0.713
Journal of Magnetics	0.713
MATERIALS TRANSACTIONS	0.713
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL	0.713
Drvna Industrija	0.712
ECONOMIC RECORD	0.712
REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA	0.712
Veterinaria Italiana	0.712
COMPUTER JOURNAL	0.711
DISCRETE DYNAMICS IN NATURE AND SOCIETY	0.711
JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES	0.711
JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES	0.711
REVISTA BRASILEIRA DE ENTOMOLOGIA	0.711
International Journal of Strategic Property Management	0.710
Journal of Public Transportation	0.710
Journal of the Mexican Chemical Society	0.710
Prague Economic Papers	0.710
Turkish Journal Of Medical Sciences	0.710
BRAGANTIA	0.709
SAUDI MEDICAL JOURNAL	0.709
Archives of Environmental Protection	0.708
JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS	0.708
Journal of Korean Neurosurgical Society	0.708
Revista Latinoamericana de Investigacion en Matematica Educativa-RELIME	0.708
AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK	0.707
BULLETIN OF THE LONDON MATHEMATICAL SOCIETY	0.707
Iranian Journal of Pediatrics	0.707
JOURNAL OF THE AUDIO ENGINEERING SOCIETY	0.707
Protection of Metals and Physical Chemistry of Surfaces	0.707
Young	0.707
Earthquake Engineering and Engineering Vibration	0.706
Educational Assessment Evaluation and Accountability	0.706
Journal of Modern Dynamics	0.706
Transportation Letters-The International Journal of Transportation Research	0.706
Transportation Letters-The International Journal of Transportation Research	0.706
Archives of Control Sciences	0.705
International Journal of Ad Hoc and Ubiquitous Computing	0.705
Rocznik Ochrona Srodowiska	0.705
Annual Reports in Medicinal Chemistry	0.704
Human-Wildlife Interactions	0.704
GENES & GENETIC SYSTEMS	0.703
JAPANESE JOURNAL OF VETERINARY RESEARCH	0.703
Macroheterocycles	0.703
ACTA APPLICANDAE MATHEMATICAE	0.702
PSYCHOLOGICAL RECORD	0.702
REVISTA CHILENA DE HISTORIA NATURAL	0.702
Crop Breeding and Applied Biotechnology	0.701
Herpetological Conservation and Biology	0.701
JOURNAL OF COMBINATORIAL DESIGNS	0.701
AMERICAN SURGEON	0.700
African Journal of Reproductive Health	0.700
BIO-MEDICAL MATERIALS AND ENGINEERING	0.700
BULLETIN OF THE GEOLOGICAL SOCIETY OF DENMARK	0.700
CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS	0.700
COMPOST SCIENCE & UTILIZATION	0.700
Development Policy Review	0.700
Handchirurgie Mikrochirurgie Plastische Chirurgie	0.700
Law and History Review	0.700
ANNALES ZOOLOGICI	0.699
Acta Geodynamica et Geomaterialia	0.699
FOOD SCIENCE AND BIOTECHNOLOGY	0.699
Journal of X-Ray Science and Technology	0.699
SOCIOBIOLOGY	0.699
Asian Journal of Technology Innovation	0.698
Baltic Journal of Road and Bridge Engineering	0.698
EQUINE VETERINARY EDUCATION	0.698
Journal of Ovonic Research	0.698
POLITICAL SCIENCE QUARTERLY	0.698
THEORETICAL COMPUTER SCIENCE	0.698
Crime Media Culture	0.697
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT	0.697
JOURNAL OF ENVIRONMENTAL BIOLOGY	0.697
JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES	0.697
POLISH JOURNAL OF VETERINARY SCIENCES	0.697
TRAVAIL HUMAIN	0.697
TRAVAIL HUMAIN	0.697
Workplace Health & Safety	0.697
Workplace Health & Safety	0.697
Israel Journal of Ecology & Evolution	0.696
JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS	0.696
JOURNAL OF UNIVERSAL COMPUTER SCIENCE	0.696
Journal of Cellular Automata	0.696
Journal of Rational-Emotive and Cognitive-Behavior Therapy	0.696
Pakistan Journal of Medical Sciences	0.696
THEORETICAL MEDICINE AND BIOETHICS	0.696
Control Engineering and Applied Informatics	0.695
European Journal of Teacher Education	0.695
Filomat	0.695
JOURNAL OF THE AMERICAN HELICOPTER SOCIETY	0.695
MINERVA CARDIOANGIOLOGICA	0.695
ANNALS OF REGIONAL SCIENCE	0.694
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION	0.694
ULTRASTRUCTURAL PATHOLOGY	0.694
WILDERNESS & ENVIRONMENTAL MEDICINE	0.694
RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI	0.693
Results in Mathematics	0.693
Asian Studies Review	0.692
EUROPEAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY	0.692
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES	0.692
Journal of Earthquake and Tsunami	0.692
Journal of Logical and Algebraic Methods in Programming	0.692
Landscape and Ecological Engineering	0.692
MINERALS & METALLURGICAL PROCESSING	0.692
Beton- und Stahlbetonbau	0.691
AFRICAN JOURNAL OF ECOLOGY	0.690
Interpretation-A Journal of Subsurface Characterization	0.690
Journal of Family Studies	0.690
PAKISTAN JOURNAL OF BOTANY	0.690
Postepy Higieny I Medycyny Doswiadczalnej	0.690
READING TEACHER	0.690
RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY	0.690
Revista Espanola de Salud Publica	0.690
Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Serie A-Matematicas	0.690
Social Theory & Health	0.690
Argumentation	0.689
CIENCIAS MARINAS	0.689
DIPLOMATIC HISTORY	0.689
JOURNAL OF HUMANISTIC PSYCHOLOGY	0.689
Journal of Superhard Materials	0.689
MEDICINE SCIENCE AND THE LAW	0.689
MEDICINE SCIENCE AND THE LAW	0.689
Melbourne University Law Review	0.689
Visual Communication	0.689
AUSTRALIAN JOURNAL OF POLITICAL SCIENCE	0.688
CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY	0.688
Contemporary Southeast Asia	0.688
ECOSCIENCE	0.688
ENVIRONMENTAL AND ECOLOGICAL STATISTICS	0.688
JOURNAL OF ENGINEERING TECHNOLOGY	0.688
Journal of Water Sanitation and Hygiene for Development	0.688
Journal of the Society for Social Work and Research	0.688
Problemy Ekorozwoju	0.688
FUNDAMENTA INFORMATICAE	0.687
Italian Journal of Agronomy	0.687
SPANISH JOURNAL OF AGRICULTURAL RESEARCH	0.687
Dynamics of Partial Differential Equations	0.686
Filosofija-Sociologija	0.686
Journal of Water Reuse and Desalination	0.686
Translator	0.686
Turkish Journal of Hematology	0.686
WOMENS STUDIES INTERNATIONAL FORUM	0.686
COMMUNITY DEVELOPMENT JOURNAL	0.685
HASTINGS LAW JOURNAL	0.685
International Journal of Food Engineering	0.685
Multilingua-Journal of Cross-Cultural and Interlanguage Communication	0.685
SOUTH AFRICAN JOURNAL OF ECONOMICS	0.685
EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS	0.684
Journal of Industrial Relations	0.684
ADVANCES IN NURSING SCIENCE	0.683
ADVANCES IN NURSING SCIENCE	0.683
ANATOMIA HISTOLOGIA EMBRYOLOGIA	0.683
European Journal of Paediatric Dentistry	0.683
Horticulture Journal	0.683
JOURNAL OF PSYCHOPHYSIOLOGY	0.683
JOURNAL OF PSYCHOPHYSIOLOGY	0.683
Journal of Theoretical and Applied Mechanics	0.683
Central European Journal of Public Health	0.682
Central European Journal of Public Health	0.682
Open Mathematics	0.682
PROGRESS IN REACTION KINETICS AND MECHANISM	0.682
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	0.681
International Journal of Materials Research	0.681
JOURNAL OF CONSCIOUSNESS STUDIES	0.681
Journal of Fixed Point Theory and Applications	0.681
PHYSICS OF PARTICLES AND NUCLEI	0.681
WEED BIOLOGY AND MANAGEMENT	0.681
PALEONTOLOGICAL RESEARCH	0.680
SOCIOLOGICAL INQUIRY	0.680
WOOD AND FIBER SCIENCE	0.680
Willdenowia	0.680
AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS	0.679
CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES	0.679
Ethnicities	0.679
JOURNAL OF VETERINARY MEDICAL EDUCATION	0.679
Membrane Water Treatment	0.679
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY	0.679
JOURNAL OF EDUCATIONAL COMPUTING RESEARCH	0.678
Journal of Thermal Science	0.678
NEUROLOGIST	0.678
SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE	0.678
WATERBIRDS	0.678
CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE	0.677
FLUID DYNAMICS RESEARCH	0.677
JOURNAL OF FUNCTIONAL PROGRAMMING	0.677
Journal of Operational Risk	0.677
SYSTEMIC PRACTICE AND ACTION RESEARCH	0.677
EUROPEAN SOCIETIES	0.676
International Relations of the Asia-Pacific	0.676
JOURNAL OF GENDER STUDIES	0.676
JOURNAL OF TEACHING IN PHYSICAL EDUCATION	0.676
JOURNAL OF TEACHING IN PHYSICAL EDUCATION	0.676
LINGUISTIC REVIEW	0.676
OMEGA-JOURNAL OF DEATH AND DYING	0.676
Research in Science & Technological Education	0.676
SOCIAL HISTORY OF MEDICINE	0.676
SOCIAL HISTORY OF MEDICINE	0.676
AT-Automatisierungstechnik	0.675
ERDE	0.675
ERDE	0.675
International Journal of Mental Health Promotion	0.675
JOURNAL OF COMPUTER INFORMATION SYSTEMS	0.675
Annals of Thoracic and Cardiovascular Surgery	0.674
EDUCATIONAL GERONTOLOGY	0.674
INTERNATIONAL JOURNAL OF ROBOTICS & AUTOMATION	0.674
JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY	0.674
Mobilization	0.674
POWDER DIFFRACTION	0.674
ACTA VIROLOGICA	0.673
ANTHROPOLOGY & EDUCATION QUARTERLY	0.673
ATMOSFERA	0.673
Collectanea Mathematica	0.673
ECONOMIC DEVELOPMENT QUARTERLY	0.673
European Constitutional Law Review	0.673
FISH PATHOLOGY	0.673
International Journal of Coal Preparation and Utilization	0.673
LEARNING AND MOTIVATION	0.673
Stochastics-An International Journal of Probability and Stochastic Reports	0.673
Arab Journal of Gastroenterology	0.672
Ethics & International Affairs	0.672
INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES	0.672
Journal of Hospice & Palliative Nursing	0.672
Journal of Hospice & Palliative Nursing	0.672
Gastroenterology Nursing	0.671
Gastroenterology Nursing	0.671
JOURNAL OF CARBOHYDRATE CHEMISTRY	0.671
ACTA ICHTHYOLOGICA ET PISCATORIA	0.670
AFRICAN JOURNAL OF AQUATIC SCIENCE	0.670
Building Services Engineering Research & Technology	0.670
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES	0.670
JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION	0.670
Pigment & Resin Technology	0.670
Romanian Journal of Morphology and Embryology	0.670
Statistical Methodology	0.670
LANGUAGE SCIENCES	0.669
ACAROLOGIA	0.667
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING	0.667
AUSTRALIAN JOURNAL OF EDUCATION	0.667
Action Research	0.667
BULLETIN OF THE HISTORY OF MEDICINE	0.667
BULLETIN OF THE HISTORY OF MEDICINE	0.667
Bratislava Medical Journal-Bratislavske Lekarske Listy	0.667
COMMUNICATIONS IN ANALYSIS AND GEOMETRY	0.667
CRIME LAW AND SOCIAL CHANGE	0.667
EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE	0.667
EXPOSITIONES MATHEMATICAE	0.667
INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL	0.667
International Journal of Web Services Research	0.667
JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES	0.667
Journal of Forest Research	0.667
Laboratory Phonology	0.667
MATHEMATIKA	0.667
OCEAN DEVELOPMENT AND INTERNATIONAL LAW	0.667
PACIFIC AFFAIRS	0.667
PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON	0.667
Planning Perspectives	0.667
Review of Central and East European Law	0.667
SEMINARS IN ROENTGENOLOGY	0.667
SINGAPORE MEDICAL JOURNAL	0.667
Topological Methods in Nonlinear Analysis	0.667
Global NEST Journal	0.665
Chemical Industry & Chemical Engineering Quarterly	0.664
JOURNAL OF APPLIED STATISTICS	0.664
JOURNAL OF FAMILY PRACTICE	0.664
LC GC EUROPE	0.663
CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE	0.662
INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT	0.662
Psychiatry Psychology and Law	0.662
REVIEW OF RADICAL POLITICAL ECONOMICS	0.662
CRITICAL ASIAN STUDIES	0.661
HAUTARZT	0.661
Logical Methods in Computer Science	0.661
MAMMAL STUDY	0.661
POSITIVITY	0.661
FOOD AND DRUG LAW JOURNAL	0.660
FOOD AND DRUG LAW JOURNAL	0.660
INDIAN JOURNAL OF PHARMACEUTICAL SCIENCES	0.660
International Journal of Global Warming	0.660
JOURNAL OF PSYCHOLINGUISTIC RESEARCH	0.660
PLASTICS RUBBER AND COMPOSITES	0.660
APPLIED BIOCHEMISTRY AND MICROBIOLOGY	0.659
COMPARATIVE PARASITOLOGY	0.659
Central European Journal of Operations Research	0.659
ENVIRONMENT AND HISTORY	0.659
SOCIOLOGY OF SPORT JOURNAL	0.659
SOCIOLOGY OF SPORT JOURNAL	0.659
BEHAVIOUR CHANGE	0.658
Empirica	0.658
English Language & Linguistics	0.658
FORESTRY CHRONICLE	0.658
JOURNAL OF POLYMER ENGINEERING	0.658
JOURNAL OF WOMEN & AGING	0.658
NEW GENERATION COMPUTING	0.657
OPERATIONS RESEARCH LETTERS	0.657
Oral Health & Preventive Dentistry	0.657
JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY	0.656
LMS Journal of Computation and Mathematics	0.656
Negotiation and Conflict Management Research	0.656
GLASS AND CERAMICS	0.655
HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY	0.655
HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH	0.655
PETROLEUM SCIENCE AND TECHNOLOGY	0.655
SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH	0.655
Zeitschrift fur Personalforschung	0.655
AI COMMUNICATIONS	0.654
Acta Herpetologica	0.654
JOURNAL OF COLD REGIONS ENGINEERING	0.654
NATIONAL TAX JOURNAL	0.653
SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE	0.653
APPLIED ARTIFICIAL INTELLIGENCE	0.652
Bollettino di Geofisica Teorica ed Applicata	0.652
INTERNATIONAL DEVELOPMENT PLANNING REVIEW	0.652
JOURNAL OF PURE AND APPLIED ALGEBRA	0.652
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE	0.651
ANTHROPOLOGISCHER ANZEIGER	0.651
KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE	0.651
Acta Botanica Brasilica	0.650
Journal of Real Estate Research	0.650
Malaysian Journal of Library & Information Science	0.650
REVIEW OF INDUSTRIAL ORGANIZATION	0.650
SCANDINAVIAN POLITICAL STUDIES	0.650
AFRICA	0.649
European Journal of Taxonomy	0.649
JOURNAL OF THE JAPAN PETROLEUM INSTITUTE	0.649
Journal of Child Sexual Abuse	0.649
Pakistan Journal of Pharmaceutical Sciences	0.649
STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS	0.649
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY	0.648
APPLIED ECONOMICS	0.648
JOURNAL OF RUSSIAN LASER RESEARCH	0.648
SCOTTISH JOURNAL OF POLITICAL ECONOMY	0.648
ANNALS OF PURE AND APPLIED LOGIC	0.647
Australian Academic & Research Libraries	0.647
Foundations of Chemistry	0.647
INTERNATIONAL JOURNAL OF ODONATOLOGY	0.647
JOURNAL OF ANTHROPOLOGICAL RESEARCH	0.647
JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS	0.647
Journal of Integrative Neuroscience	0.647
Pacific Economic Review	0.647
Wilson Journal of Ornithology	0.647
ACTA BIOTHEORETICA	0.646
ADVANCES IN CEMENT RESEARCH	0.646
AMERICAN STATISTICIAN	0.646
CHIRURG	0.646
JOURNAL OF CHEMICAL RESEARCH	0.646
POLICING-AN INTERNATIONAL JOURNAL OF POLICE STRATEGIES & MANAGEMENT	0.646
RENDICONTI DEL SEMINARIO MATEMATICO DELLA UNIVERSITA DI PADOVA	0.646
Statistical Applications in Genetics and Molecular Biology	0.646
Empirical Economics	0.645
Journal of Human Capital	0.645
THEORY OF COMPUTING SYSTEMS	0.645
BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY	0.644
INTELLIGENT AUTOMATION AND SOFT COMPUTING	0.644
JOURNAL OF MORAL EDUCATION	0.644
Russian Physics Journal	0.644
Zemdirbyste-Agriculture	0.644
Advances in Applied Clifford Algebras	0.643
Advances in Mathematical Physics	0.643
CESifo Economic Studies	0.643
INTERNATIONAL LABOUR REVIEW	0.643
SPACE POLICY	0.643
Stratigraphy	0.643
ZEITSCHRIFT FUR ANALYSIS UND IHRE ANWENDUNGEN	0.643
Brodogradnja	0.642
Drewno	0.642
INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS	0.642
International Journal of Osteopathic Medicine	0.642
JOURNAL OF NEUROSCIENCE NURSING	0.642
JOURNAL OF NEUROSCIENCE NURSING	0.642
Journal of Nonlinear and Convex Analysis	0.642
Rivista di Psichiatria	0.642
Rivista di Psichiatria	0.642
Zoologia	0.642
HISTORY OF SCIENCE	0.641
HISTORY OF SCIENCE	0.641
HUMAN RIGHTS QUARTERLY	0.641
INTERNATIONAL JOURNAL OF MANPOWER	0.641
International Journal of Qualitative Methods	0.641
JOURNAL OF COMPUTATIONAL MATHEMATICS	0.641
Journal of Elementology	0.641
OPTICA APPLICATA	0.641
INTERNATIONAL JOURNAL OF PEST MANAGEMENT	0.640
Malaysian Journal of Pathology	0.640
Norsk Geografisk Tidsskrift-Norwegian Journal of Geography	0.640
DISCRETE MATHEMATICS	0.639
GENDER AND EDUCATION	0.639
POLISH JOURNAL OF ECOLOGY	0.639
Asian Journal of Communication	0.638
BULLETIN DE LA SOCIETE MATHEMATIQUE DE FRANCE	0.638
INDIAN JOURNAL OF PHARMACOLOGY	0.638
JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B	0.638
MEDICAL PROBLEMS OF PERFORMING ARTISTS	0.638
ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE	0.637
METRIKA	0.637
AMERICAN MIDLAND NATURALIST	0.636
International Finance	0.636
POLISH POLAR RESEARCH	0.636
RECORDS OF THE AUSTRALIAN MUSEUM	0.636
SOUTH AFRICAN JOURNAL OF GEOLOGY	0.636
African Health Sciences	0.635
BALTIC FORESTRY	0.635
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE	0.635
International Journal of Sensor Networks	0.635
Journal of Environmental Engineering and Landscape Management	0.635
Journal of the South African Veterinary Association	0.635
MATHEMATICA SCANDINAVICA	0.635
Earth Sciences Research Journal	0.634
Fruits	0.634
INTERNATIONAL POLYMER PROCESSING	0.634
Materials Research-Ibero-american Journal of Materials	0.634
Revista Latino-Americana de Enfermagem	0.634
Revista Latino-Americana de Enfermagem	0.634
Canadian Studies in Population	0.633
FORTSCHRITTE DER NEUROLOGIE PSYCHIATRIE	0.633
Journal of Fish and Wildlife Management	0.633
Journal of the History of the Neurosciences	0.633
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE	0.632
ACTA GASTRO-ENTEROLOGICA BELGICA	0.632
Analysis and Mathematical Physics	0.632
CARBONATES AND EVAPORITES	0.632
JOURNAL OF THEORETICAL POLITICS	0.632
TECHNICAL PHYSICS	0.632
ZOOSYSTEMA	0.632
IEEE Latin America Transactions	0.631
Mljekarstvo	0.631
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES	0.631
Entrepreneurship Research Journal	0.630
Ochrona Srodowiska	0.630
SYMBOLIC INTERACTION	0.630
AMERICAN JOURNAL OF PSYCHOLOGY	0.629
Asian Population Studies	0.629
JOURNAL OF CHEMICAL ENGINEERING OF JAPAN	0.629
JOURNAL OF OBSTETRICS AND GYNAECOLOGY	0.629
ORTHOPADE	0.629
PSYCHOLOGICAL REPORTS	0.629
WOOD RESEARCH	0.629
BRITISH JOURNAL OF GUIDANCE & COUNSELLING	0.628
CRYOLETTERS	0.628
EASTERN MEDITERRANEAN HEALTH JOURNAL	0.628
EASTERN MEDITERRANEAN HEALTH JOURNAL	0.628
State Politics & Policy Quarterly	0.628
VIRTUAL REALITY	0.628
BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION	0.627
Clinical Journal of Oncology Nursing	0.627
Clinical Journal of Oncology Nursing	0.627
Algebraic and Geometric Topology	0.626
FIBRES & TEXTILES IN EASTERN EUROPE	0.626
PERCEPTUAL AND MOTOR SKILLS	0.626
ALGEBRA UNIVERSALIS	0.625
Acta Botanica Mexicana	0.625
Anales del Sistema Sanitario De Navarra	0.625
Anales del Sistema Sanitario De Navarra	0.625
Journal of Noncommutative Geometry	0.625
Journal of Sustainable Forestry	0.625
MIDDLE EAST JOURNAL	0.625
Political Studies Review	0.625
Slovo a Slovesnost	0.625
ACTA PHYSICA SINICA	0.624
BIOLOGICAL RHYTHM RESEARCH	0.624
INTERNATIONAL TAX AND PUBLIC FINANCE	0.624
International Journal of Civil Engineering	0.624
International Journal of Data Mining and Bioinformatics	0.624
ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING	0.623
International Journal of Chemical Reactor Engineering	0.623
JOURNAL OF COLLEGE STUDENT DEVELOPMENT	0.623
ACTA CLINICA BELGICA	0.622
Frontiers of Information Technology & Electronic Engineering	0.622
GEOCHEMISTRY INTERNATIONAL	0.622
INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS	0.622
International Communication Gazette	0.622
Interpreter and Translator Trainer	0.622
Literacy	0.622
ALGEBRAS AND REPRESENTATION THEORY	0.621
CHINA OCEAN ENGINEERING	0.621
Cuadernos de Desarrollo Rural	0.621
Journal of Medical Imaging and Health Informatics	0.621
POLYMER SCIENCE SERIES B	0.621
PTERIDINES	0.621
INORGANIC MATERIALS	0.620
ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES	0.620
ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES	0.620
Nuclear Technology & Radiation Protection	0.620
European Journal of Transport and Infrastructure Research	0.619
Journal of Demographic Economics	0.619
Nagoya Journal of Medical Science	0.619
SOUTH AFRICAN JOURNAL OF PSYCHOLOGY	0.619
Terminology	0.619
Applications of Mathematics	0.618
CIENCIA E AGROTECNOLOGIA	0.618
Ethik in der Medizin	0.618
International Journal for Educational and Vocational Guidance	0.618
JOURNAL OF PALLIATIVE CARE	0.618
JOURNAL OF PALLIATIVE CARE	0.618
JOURNAL OF PLANT NUTRITION	0.618
Zeitschrift fur Orthopadie und Unfallchirurgie	0.618
ANNALS ACADEMY OF MEDICINE SINGAPORE	0.617
Asia Pacific Journal of Anthropology	0.617
Language and Intercultural Communication	0.617
MODERN PHYSICS LETTERS B	0.617
ZYGON	0.617
Bangladesh Journal of Pharmacology	0.616
Complex Variables and Elliptic Equations	0.616
Indian Journal of Pathology and Microbiology	0.616
JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION	0.616
Journal of Plant Registrations	0.616
ANNALES DE PATHOLOGIE	0.615
ECONOMIST-NETHERLANDS	0.615
Erwerbs-Obstbau	0.615
European Journal of Social Work	0.615
Investment Analysts Journal	0.615
MANCHESTER SCHOOL	0.615
MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES	0.615
NIHON REOROJI GAKKAISHI	0.615
Nigerian Journal of Clinical Practice	0.615
Trabajos de Prehistoria	0.615
EUROPEAN JOURNAL OF PHYSICS	0.614
FOREST PRODUCTS JOURNAL	0.614
Fetal and Pediatric Pathology	0.613
Macedonian Journal of Chemistry and Chemical Engineering	0.612
Plant Genetic Resources-Characterization and Utilization	0.612
